,tanggal,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,PROVINSI,KASUS
0,2020-06-14,0.0,36.0,-25.0,915.0,574.0,33.0,308.0,NUSA TENGGARA BARAT,11.0
0,2020-06-15,2.0,31.0,-11.0,937.0,605.0,35.0,297.0,NUSA TENGGARA BARAT,22.0
0,2020-06-16,0.0,15.0,5.0,957.0,620.0,35.0,302.0,NUSA TENGGARA BARAT,20.0
0,2020-06-17,6.0,30.0,-15.0,978.0,650.0,41.0,287.0,NUSA TENGGARA BARAT,21.0
0,2020-06-18,2.0,20.0,8.0,1008.0,670.0,43.0,295.0,NUSA TENGGARA BARAT,30.0
0,2020-06-19,0.0,19.0,-5.0,1022.0,689.0,43.0,290.0,NUSA TENGGARA BARAT,14.0
0,2020-06-20,1.0,33.0,-5.0,1051.0,722.0,44.0,285.0,NUSA TENGGARA BARAT,29.0
0,2020-06-21,0.0,7.0,-2.0,1056.0,729.0,44.0,283.0,NUSA TENGGARA BARAT,5.0
0,2020-06-22,1.0,13.0,-3.0,1067.0,742.0,45.0,280.0,NUSA TENGGARA BARAT,11.0
0,2020-06-23,0.0,8.0,6.0,1081.0,750.0,45.0,286.0,NUSA TENGGARA BARAT,14.0
0,2020-06-24,2.0,19.0,0.0,1102.0,769.0,47.0,286.0,NUSA TENGGARA BARAT,21.0
0,2020-06-25,2.0,6.0,9.0,1119.0,775.0,49.0,295.0,NUSA TENGGARA BARAT,17.0
0,2020-06-26,0.0,11.0,12.0,1142.0,786.0,49.0,307.0,NUSA TENGGARA BARAT,23.0
0,2020-06-27,1.0,5.0,15.0,1163.0,791.0,50.0,322.0,NUSA TENGGARA BARAT,21.0
0,2020-06-28,9.0,19.0,8.0,1199.0,810.0,59.0,330.0,NUSA TENGGARA BARAT,36.0
0,2020-06-29,0.0,6.0,8.0,1213.0,816.0,59.0,338.0,NUSA TENGGARA BARAT,14.0
0,2020-06-30,1.0,8.0,12.0,1234.0,824.0,60.0,350.0,NUSA TENGGARA BARAT,21.0
0,2020-07-01,3.0,7.0,1.0,1245.0,831.0,63.0,351.0,NUSA TENGGARA BARAT,11.0
0,2020-07-02,0.0,11.0,4.0,1260.0,842.0,63.0,355.0,NUSA TENGGARA BARAT,15.0
0,2020-07-03,0.0,25.0,-2.0,1283.0,867.0,63.0,353.0,NUSA TENGGARA BARAT,23.0
0,2020-07-04,1.0,6.0,21.0,1311.0,873.0,64.0,374.0,NUSA TENGGARA BARAT,28.0
0,2020-07-05,0.0,9.0,9.0,1329.0,882.0,64.0,383.0,NUSA TENGGARA BARAT,18.0
0,2020-07-06,0.0,7.0,25.0,1361.0,889.0,64.0,408.0,NUSA TENGGARA BARAT,32.0
0,2020-07-07,1.0,8.0,21.0,1391.0,897.0,65.0,429.0,NUSA TENGGARA BARAT,30.0
0,2020-07-08,6.0,23.0,-6.0,1414.0,920.0,71.0,423.0,NUSA TENGGARA BARAT,23.0
0,2020-07-09,1.0,12.0,16.0,1443.0,932.0,72.0,439.0,NUSA TENGGARA BARAT,29.0
0,2020-07-10,2.0,14.0,20.0,1479.0,946.0,74.0,459.0,NUSA TENGGARA BARAT,36.0
0,2020-07-11,0.0,14.0,25.0,1518.0,960.0,74.0,484.0,NUSA TENGGARA BARAT,39.0
0,2020-07-12,3.0,13.0,14.0,1548.0,973.0,77.0,498.0,NUSA TENGGARA BARAT,30.0
0,2020-07-13,4.0,22.0,-3.0,1571.0,995.0,81.0,495.0,NUSA TENGGARA BARAT,23.0
0,2020-07-14,1.0,24.0,-4.0,1592.0,1019.0,82.0,491.0,NUSA TENGGARA BARAT,21.0
0,2020-07-15,3.0,14.0,9.0,1618.0,1033.0,85.0,500.0,NUSA TENGGARA BARAT,26.0
0,2020-07-16,0.0,27.0,3.0,1648.0,1060.0,85.0,503.0,NUSA TENGGARA BARAT,30.0
0,2020-07-17,1.0,11.0,9.0,1669.0,1071.0,86.0,512.0,NUSA TENGGARA BARAT,21.0
0,2020-07-18,3.0,13.0,9.0,1694.0,1084.0,89.0,521.0,NUSA TENGGARA BARAT,25.0
0,2020-07-19,5.0,19.0,7.0,1725.0,1103.0,94.0,528.0,NUSA TENGGARA BARAT,31.0
0,2020-07-20,2.0,1.0,31.0,1759.0,1104.0,96.0,559.0,NUSA TENGGARA BARAT,34.0
0,2020-07-21,2.0,14.0,2.0,1777.0,1118.0,98.0,561.0,NUSA TENGGARA BARAT,18.0
0,2020-07-22,0.0,10.0,2.0,1789.0,1128.0,98.0,563.0,NUSA TENGGARA BARAT,12.0
0,2020-07-23,0.0,13.0,20.0,1822.0,1141.0,98.0,583.0,NUSA TENGGARA BARAT,33.0
0,2020-07-24,5.0,15.0,8.0,1850.0,1156.0,103.0,591.0,NUSA TENGGARA BARAT,28.0
0,2020-07-25,0.0,13.0,20.0,1883.0,1169.0,103.0,611.0,NUSA TENGGARA BARAT,33.0
0,2020-07-26,1.0,22.0,-3.0,1903.0,1191.0,104.0,608.0,NUSA TENGGARA BARAT,20.0
0,2020-07-27,3.0,21.0,-1.0,1926.0,1212.0,107.0,607.0,NUSA TENGGARA BARAT,23.0
0,2020-07-28,1.0,6.0,13.0,1946.0,1218.0,108.0,620.0,NUSA TENGGARA BARAT,20.0
0,2020-07-29,0.0,30.0,10.0,1986.0,1248.0,108.0,630.0,NUSA TENGGARA BARAT,40.0
0,2020-07-30,0.0,12.0,24.0,2022.0,1260.0,108.0,654.0,NUSA TENGGARA BARAT,36.0
0,2020-07-31,2.0,24.0,17.0,2065.0,1284.0,110.0,671.0,NUSA TENGGARA BARAT,43.0
0,2020-08-01,0.0,0.0,0.0,2065.0,1284.0,110.0,671.0,NUSA TENGGARA BARAT,0.0
0,2020-08-02,5.0,26.0,19.0,2115.0,1310.0,115.0,690.0,NUSA TENGGARA BARAT,50.0
0,2020-08-03,2.0,9.0,24.0,2150.0,1319.0,117.0,714.0,NUSA TENGGARA BARAT,35.0
0,2020-08-04,2.0,11.0,8.0,2171.0,1330.0,119.0,722.0,NUSA TENGGARA BARAT,21.0
0,2020-08-05,2.0,29.0,-5.0,2197.0,1359.0,121.0,717.0,NUSA TENGGARA BARAT,26.0
0,2020-08-06,1.0,15.0,11.0,2224.0,1374.0,122.0,728.0,NUSA TENGGARA BARAT,27.0
0,2020-08-07,0.0,27.0,-12.0,2239.0,1401.0,122.0,716.0,NUSA TENGGARA BARAT,15.0
0,2020-08-08,1.0,8.0,15.0,2263.0,1409.0,123.0,731.0,NUSA TENGGARA BARAT,24.0
0,2020-08-09,0.0,14.0,13.0,2290.0,1423.0,123.0,744.0,NUSA TENGGARA BARAT,27.0
0,2020-08-10,2.0,10.0,14.0,2316.0,1433.0,125.0,758.0,NUSA TENGGARA BARAT,26.0
0,2020-08-11,3.0,55.0,-36.0,2338.0,1488.0,128.0,722.0,NUSA TENGGARA BARAT,22.0
0,2020-08-12,1.0,54.0,-31.0,2362.0,1542.0,129.0,691.0,NUSA TENGGARA BARAT,24.0
0,2020-08-13,0.0,48.0,-35.0,2375.0,1590.0,129.0,656.0,NUSA TENGGARA BARAT,13.0
0,2020-08-14,0.0,18.0,6.0,2399.0,1608.0,129.0,662.0,NUSA TENGGARA BARAT,24.0
0,2020-08-15,2.0,15.0,5.0,2421.0,1623.0,131.0,667.0,NUSA TENGGARA BARAT,22.0
0,2020-08-16,0.0,20.0,-5.0,2436.0,1643.0,131.0,662.0,NUSA TENGGARA BARAT,15.0
0,2020-08-17,1.0,13.0,8.0,2458.0,1656.0,132.0,670.0,NUSA TENGGARA BARAT,22.0
0,2020-08-18,2.0,19.0,2.0,2481.0,1675.0,134.0,672.0,NUSA TENGGARA BARAT,23.0
0,2020-08-19,1.0,21.0,2.0,2505.0,1696.0,135.0,674.0,NUSA TENGGARA BARAT,24.0
0,2020-08-20,1.0,29.0,-9.0,2526.0,1725.0,136.0,665.0,NUSA TENGGARA BARAT,21.0
0,2020-08-21,2.0,110.0,-88.0,2550.0,1835.0,138.0,577.0,NUSA TENGGARA BARAT,24.0
0,2020-08-22,3.0,26.0,-15.0,2564.0,1861.0,141.0,562.0,NUSA TENGGARA BARAT,14.0
0,2020-08-23,2.0,15.0,1.0,2582.0,1876.0,143.0,563.0,NUSA TENGGARA BARAT,18.0
0,2020-08-24,5.0,8.0,1.0,2596.0,1884.0,148.0,564.0,NUSA TENGGARA BARAT,14.0
0,2020-08-25,2.0,18.0,-3.0,2613.0,1902.0,150.0,561.0,NUSA TENGGARA BARAT,17.0
0,2020-08-26,2.0,16.0,10.0,2641.0,1918.0,152.0,571.0,NUSA TENGGARA BARAT,28.0
0,2020-08-27,3.0,21.0,-3.0,2662.0,1939.0,155.0,568.0,NUSA TENGGARA BARAT,21.0
0,2020-08-28,1.0,27.0,-5.0,2685.0,1966.0,156.0,563.0,NUSA TENGGARA BARAT,23.0
0,2020-08-29,0.0,27.0,15.0,2727.0,1993.0,156.0,578.0,NUSA TENGGARA BARAT,42.0
0,2020-08-30,1.0,24.0,-24.0,2728.0,2017.0,157.0,554.0,NUSA TENGGARA BARAT,1.0
0,2020-08-31,2.0,28.0,-16.0,2742.0,2045.0,159.0,538.0,NUSA TENGGARA BARAT,14.0
0,2020-09-01,3.0,28.0,-15.0,2758.0,2073.0,162.0,523.0,NUSA TENGGARA BARAT,16.0
0,2020-09-02,0.0,29.0,-15.0,2772.0,2102.0,162.0,508.0,NUSA TENGGARA BARAT,14.0
0,2020-09-03,0.0,12.0,2.0,2786.0,2114.0,162.0,510.0,NUSA TENGGARA BARAT,14.0
0,2020-09-04,3.0,14.0,-8.0,2795.0,2128.0,165.0,502.0,NUSA TENGGARA BARAT,9.0
0,2020-09-05,2.0,25.0,6.0,2828.0,2153.0,167.0,508.0,NUSA TENGGARA BARAT,33.0
0,2020-09-06,1.0,21.0,-3.0,2847.0,2174.0,168.0,505.0,NUSA TENGGARA BARAT,19.0
0,2020-09-07,1.0,16.0,-9.0,2855.0,2190.0,169.0,496.0,NUSA TENGGARA BARAT,8.0
0,2020-09-08,2.0,19.0,-1.0,2875.0,2209.0,171.0,495.0,NUSA TENGGARA BARAT,20.0
0,2020-09-09,0.0,25.0,-10.0,2890.0,2234.0,171.0,485.0,NUSA TENGGARA BARAT,15.0
0,2020-09-10,0.0,31.0,-20.0,2901.0,2265.0,171.0,465.0,NUSA TENGGARA BARAT,11.0
0,2020-09-11,1.0,19.0,-11.0,2910.0,2284.0,172.0,454.0,NUSA TENGGARA BARAT,9.0
0,2020-09-12,0.0,26.0,-13.0,2923.0,2310.0,172.0,441.0,NUSA TENGGARA BARAT,13.0
0,2020-09-13,1.0,9.0,6.0,2939.0,2319.0,173.0,447.0,NUSA TENGGARA BARAT,16.0
0,2020-09-14,0.0,23.0,-1.0,2961.0,2342.0,173.0,446.0,NUSA TENGGARA BARAT,22.0
0,2020-09-15,1.0,9.0,10.0,2981.0,2351.0,174.0,456.0,NUSA TENGGARA BARAT,20.0
0,2020-09-16,0.0,13.0,-4.0,2990.0,2364.0,174.0,452.0,NUSA TENGGARA BARAT,9.0
0,2020-09-17,3.0,20.0,-4.0,3009.0,2384.0,177.0,448.0,NUSA TENGGARA BARAT,19.0
0,2020-09-18,2.0,11.0,7.0,3029.0,2395.0,179.0,455.0,NUSA TENGGARA BARAT,20.0
0,2020-09-19,3.0,22.0,28.0,3082.0,2417.0,182.0,483.0,NUSA TENGGARA BARAT,53.0
0,2020-09-20,0.0,12.0,7.0,3101.0,2429.0,182.0,490.0,NUSA TENGGARA BARAT,19.0
0,2020-09-21,3.0,12.0,10.0,3126.0,2441.0,185.0,500.0,NUSA TENGGARA BARAT,25.0
0,2020-09-22,2.0,15.0,-6.0,3137.0,2456.0,187.0,494.0,NUSA TENGGARA BARAT,11.0
0,2020-09-23,0.0,20.0,4.0,3161.0,2476.0,187.0,498.0,NUSA TENGGARA BARAT,24.0
0,2020-09-24,3.0,20.0,16.0,3200.0,2496.0,190.0,514.0,NUSA TENGGARA BARAT,39.0
0,2020-09-25,2.0,39.0,-23.0,3218.0,2535.0,192.0,491.0,NUSA TENGGARA BARAT,18.0
0,2020-09-26,0.0,11.0,17.0,3246.0,2546.0,192.0,508.0,NUSA TENGGARA BARAT,28.0
0,2020-09-27,2.0,8.0,9.0,3265.0,2554.0,194.0,517.0,NUSA TENGGARA BARAT,19.0
0,2020-09-28,1.0,4.0,12.0,3282.0,2558.0,195.0,529.0,NUSA TENGGARA BARAT,17.0
0,2020-09-29,0.0,39.0,-32.0,3289.0,2597.0,195.0,497.0,NUSA TENGGARA BARAT,7.0
0,2020-09-30,1.0,40.0,-14.0,3316.0,2637.0,196.0,483.0,NUSA TENGGARA BARAT,27.0
0,2020-10-01,2.0,14.0,14.0,3346.0,2651.0,198.0,497.0,NUSA TENGGARA BARAT,30.0
0,2020-10-02,2.0,7.0,17.0,3372.0,2658.0,200.0,514.0,NUSA TENGGARA BARAT,26.0
0,2020-10-03,2.0,17.0,3.0,3394.0,2675.0,202.0,517.0,NUSA TENGGARA BARAT,22.0
0,2020-10-04,1.0,10.0,15.0,3420.0,2685.0,203.0,532.0,NUSA TENGGARA BARAT,26.0
0,2020-10-05,0.0,20.0,1.0,3441.0,2705.0,203.0,533.0,NUSA TENGGARA BARAT,21.0
0,2020-10-06,0.0,33.0,-10.0,3464.0,2738.0,203.0,523.0,NUSA TENGGARA BARAT,23.0
0,2020-10-07,0.0,18.0,-11.0,3471.0,2756.0,203.0,512.0,NUSA TENGGARA BARAT,7.0
0,2020-10-08,0.0,13.0,1.0,3485.0,2769.0,203.0,513.0,NUSA TENGGARA BARAT,14.0
0,2020-10-09,2.0,22.0,4.0,3513.0,2791.0,205.0,517.0,NUSA TENGGARA BARAT,28.0
0,2020-10-10,1.0,7.0,-1.0,3520.0,2798.0,206.0,516.0,NUSA TENGGARA BARAT,7.0
0,2020-10-11,0.0,7.0,12.0,3539.0,2805.0,206.0,528.0,NUSA TENGGARA BARAT,19.0
0,2020-10-12,0.0,7.0,8.0,3554.0,2812.0,206.0,536.0,NUSA TENGGARA BARAT,15.0
0,2020-10-13,0.0,72.0,-64.0,3562.0,2884.0,206.0,472.0,NUSA TENGGARA BARAT,8.0
0,2020-10-14,2.0,51.0,-27.0,3588.0,2935.0,208.0,445.0,NUSA TENGGARA BARAT,26.0
0,2020-10-15,0.0,15.0,10.0,3613.0,2950.0,208.0,455.0,NUSA TENGGARA BARAT,25.0
0,2020-10-16,0.0,19.0,14.0,3646.0,2969.0,208.0,469.0,NUSA TENGGARA BARAT,33.0
0,2020-10-17,1.0,24.0,2.0,3673.0,2993.0,209.0,471.0,NUSA TENGGARA BARAT,27.0
0,2020-10-18,0.0,11.0,20.0,3704.0,3004.0,209.0,491.0,NUSA TENGGARA BARAT,31.0
0,2020-10-19,2.0,6.0,20.0,3732.0,3010.0,211.0,511.0,NUSA TENGGARA BARAT,28.0
0,2020-10-20,2.0,10.0,9.0,3753.0,3020.0,213.0,520.0,NUSA TENGGARA BARAT,21.0
0,2020-10-21,1.0,14.0,17.0,3785.0,3034.0,214.0,537.0,NUSA TENGGARA BARAT,32.0
0,2020-10-22,1.0,42.0,-18.0,3810.0,3076.0,215.0,519.0,NUSA TENGGARA BARAT,25.0
0,2020-10-23,1.0,27.0,-8.0,3830.0,3103.0,216.0,511.0,NUSA TENGGARA BARAT,20.0
0,2020-10-24,1.0,14.0,-9.0,3836.0,3117.0,217.0,502.0,NUSA TENGGARA BARAT,6.0
0,2020-10-25,2.0,16.0,4.0,3858.0,3133.0,219.0,506.0,NUSA TENGGARA BARAT,22.0
0,2020-10-26,0.0,22.0,4.0,3884.0,3155.0,219.0,510.0,NUSA TENGGARA BARAT,26.0
0,2020-10-27,0.0,32.0,-3.0,3913.0,3187.0,219.0,507.0,NUSA TENGGARA BARAT,29.0
0,2020-10-28,0.0,32.0,-5.0,3940.0,3219.0,219.0,502.0,NUSA TENGGARA BARAT,27.0
0,2020-10-29,0.0,31.0,-21.0,3950.0,3250.0,219.0,481.0,NUSA TENGGARA BARAT,10.0
0,2020-10-30,1.0,4.0,11.0,3966.0,3254.0,220.0,492.0,NUSA TENGGARA BARAT,16.0
0,2020-10-31,1.0,3.0,2.0,3972.0,3257.0,221.0,494.0,NUSA TENGGARA BARAT,6.0
0,2020-11-01,0.0,5.0,19.0,3996.0,3262.0,221.0,513.0,NUSA TENGGARA BARAT,24.0
0,2020-11-02,1.0,9.0,-8.0,3998.0,3271.0,222.0,505.0,NUSA TENGGARA BARAT,2.0
0,2020-11-03,0.0,23.0,-5.0,4016.0,3294.0,222.0,500.0,NUSA TENGGARA BARAT,18.0
0,2020-11-04,2.0,59.0,-35.0,4042.0,3353.0,224.0,465.0,NUSA TENGGARA BARAT,26.0
0,2020-11-05,1.0,78.0,-25.0,4096.0,3431.0,225.0,440.0,NUSA TENGGARA BARAT,54.0
0,2020-11-06,2.0,27.0,-8.0,4117.0,3458.0,227.0,432.0,NUSA TENGGARA BARAT,21.0
0,2020-11-07,0.0,17.0,15.0,4149.0,3475.0,227.0,447.0,NUSA TENGGARA BARAT,32.0
0,2020-11-08,2.0,61.0,-17.0,4195.0,3536.0,229.0,430.0,NUSA TENGGARA BARAT,46.0
0,2020-11-09,0.0,3.0,41.0,4239.0,3539.0,229.0,471.0,NUSA TENGGARA BARAT,44.0
0,2020-11-10,0.0,0.0,11.0,4250.0,3539.0,229.0,482.0,NUSA TENGGARA BARAT,11.0
0,2020-11-11,1.0,0.0,35.0,4286.0,3539.0,230.0,517.0,NUSA TENGGARA BARAT,36.0
0,2020-11-12,0.0,0.0,28.0,4314.0,3539.0,230.0,545.0,NUSA TENGGARA BARAT,28.0
0,2020-11-13,0.0,0.0,48.0,4362.0,3539.0,230.0,593.0,NUSA TENGGARA BARAT,48.0
0,2020-11-14,0.0,0.0,27.0,4389.0,3539.0,230.0,620.0,NUSA TENGGARA BARAT,27.0
0,2020-11-15,0.0,0.0,14.0,4403.0,3539.0,230.0,634.0,NUSA TENGGARA BARAT,14.0
0,2020-11-16,0.0,0.0,0.0,4403.0,3539.0,230.0,634.0,NUSA TENGGARA BARAT,0.0
0,2020-11-17,0.0,3.0,1.0,4407.0,3542.0,230.0,635.0,NUSA TENGGARA BARAT,4.0
0,2020-11-18,1.0,10.0,10.0,4428.0,3552.0,231.0,645.0,NUSA TENGGARA BARAT,21.0
0,2020-11-19,0.0,14.0,2.0,4444.0,3566.0,231.0,647.0,NUSA TENGGARA BARAT,16.0
0,2020-11-20,4.0,22.0,13.0,4483.0,3588.0,235.0,660.0,NUSA TENGGARA BARAT,39.0
0,2020-11-21,0.0,2.0,26.0,4511.0,3590.0,235.0,686.0,NUSA TENGGARA BARAT,28.0
0,2020-11-22,0.0,30.0,-20.0,4521.0,3620.0,235.0,666.0,NUSA TENGGARA BARAT,10.0
0,2020-11-23,1.0,3.0,11.0,4536.0,3623.0,236.0,677.0,NUSA TENGGARA BARAT,15.0
0,2020-11-24,0.0,9.0,5.0,4550.0,3632.0,236.0,682.0,NUSA TENGGARA BARAT,14.0
